20170717	10	D	1	Pi_sensor	3	4	5698
20170717	10	D	2	Pi_sensor	2	4	4520
20170717	10	D	3	Pi_sensor	1.5	4	3774
20170717	10	D	4	Pi_sensor	1	4	3118
20170717	10	D	5	Pi_sensor	0.5	4	2097
20170717	10	D	6	Pi_sensor	0	4	913
20170717	10	D	7	Pi_sensor	7	10	15826
20170717	10	D	8	Pi_sensor	6	10	14119
20170717	10	D	9	Pi_sensor	5.5	10	13595
20170717	10	D	10	Pi_sensor	5	10	12730
20170717	10	D	11	Pi_sensor	4.5	10	11883
20170717	10	D	12	Pi_sensor	4	10	11079
20170717	10	E	1	Pi_sensor	3	10	8877
20170717	10	E	2	Pi_sensor	2	10	6532
20170717	10	E	3	Pi_sensor	1.5	10	5245
20170717	10	E	4	Pi_sensor	1	10	4304
20170717	10	E	5	Pi_sensor	0.5	10	3203
20170717	10	E	6	Pi_sensor	0	10	2081
20170717	10	E	7	Pi_sensor	14	18	28176
20170717	10	E	8	Pi_sensor	12.5	18	26611
20170717	10	E	9	Pi_sensor	11	18	24603
20170717	10	E	10	Pi_sensor	10	18	23336
20170717	10	E	11	Pi_sensor	9	18	21922
20170717	10	E	12	Pi_sensor	8	18	20596
20170717	10	F	1	Pi_sensor	7	18	19193
20170717	10	F	2	Pi_sensor	6	18	16990
20170717	10	F	3	Pi_sensor	5.5	18	15878
20170717	10	F	4	Pi_sensor	5	18	14787
20170717	10	F	5	Pi_sensor	4.5	18	13720
20170717	10	F	6	Pi_sensor	4	18	12727
20170717	10	F	7	Pi_sensor	3	18	10141
20170717	10	F	8	Pi_sensor	2	18	7491
20170717	10	F	9	Pi_sensor	1.5	18	6262
20170717	10	F	10	Pi_sensor	1	18	5353
20170717	10	F	11	Pi_sensor	0.5	18	4203
20170717	10	F	12	Pi_sensor	0	18	3279
20170717	21	D	1	Pi_sensor	3	4	5662
20170717	21	D	2	Pi_sensor	2	4	4499
20170717	21	D	3	Pi_sensor	1.5	4	3732
20170717	21	D	4	Pi_sensor	1	4	3179
20170717	21	D	5	Pi_sensor	0.5	4	2053
20170717	21	D	6	Pi_sensor	0	4	901
20170717	21	D	7	Pi_sensor	7	10	15645
20170717	21	D	8	Pi_sensor	6	10	14025
20170717	21	D	9	Pi_sensor	5.5	10	13515
20170717	21	D	10	Pi_sensor	5	10	12774
20170717	21	D	11	Pi_sensor	4.5	10	11717
20170717	21	D	12	Pi_sensor	4	10	10944
20170717	21	E	1	Pi_sensor	3	10	8964
20170717	21	E	2	Pi_sensor	2	10	6596
20170717	21	E	3	Pi_sensor	1.5	10	5228
20170717	21	E	4	Pi_sensor	1	10	4269
20170717	21	E	5	Pi_sensor	0.5	10	3121
20170717	21	E	6	Pi_sensor	0	10	2087
20170717	21	E	7	Pi_sensor	14	18	28076
20170717	21	E	8	Pi_sensor	12.5	18	26765
20170717	21	E	9	Pi_sensor	11	18	24869
20170717	21	E	10	Pi_sensor	10	18	23066
20170717	21	E	11	Pi_sensor	9	18	21783
20170717	21	E	12	Pi_sensor	8	18	20447
20170717	21	F	1	Pi_sensor	7	18	18809
20170717	21	F	2	Pi_sensor	6	18	16910
20170717	21	F	3	Pi_sensor	5.5	18	15731
20170717	21	F	4	Pi_sensor	5	18	14892
20170717	21	F	5	Pi_sensor	4.5	18	13626
20170717	21	F	6	Pi_sensor	4	18	12718
20170717	21	F	7	Pi_sensor	3	18	10073
20170717	21	F	8	Pi_sensor	2	18	7452
20170717	21	F	9	Pi_sensor	1.5	18	6238
20170717	21	F	10	Pi_sensor	1	18	5383
20170717	21	F	11	Pi_sensor	0.5	18	4178
20170717	21	F	12	Pi_sensor	0	18	3206
20170717	31	D	1	Pi_sensor	3	4	5710
20170717	31	D	2	Pi_sensor	2	4	4505
20170717	31	D	3	Pi_sensor	1.5	4	3710
20170717	31	D	4	Pi_sensor	1	4	3169
20170717	31	D	5	Pi_sensor	0.5	4	2080
20170717	31	D	6	Pi_sensor	0	4	910
20170717	31	D	7	Pi_sensor	7	10	15508
