0 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	Overflow	54844	46328	37066	32347	27362	22485	17906	13447	10402	
B													
C													
D													
E													
F													
G													
H													
3 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	Overflow	54934	46332	37201	32449	27234	22646	17827	13560	10422	
B													
C													
D													
E													
F													
G													
H													
7 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	62491	54904	46024	37027	32381	27307	22677	17715	13565	10523	
B													
C													
D													
E													
F													
G													
H													
11 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	Overflow	54677	46041	37016	32246	27114	22362	17793	13566	10415	
B													
C													
D													
E													
F													
G													
H													
15 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	62162	54781	45812	37320	32209	27085	22456	17927	13483	10428	
B													
C													
D													
E													
F													
G													
H													
19 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	62426	54593	45989	36942	31947	27214	22289	17760	13502	10487	
B													
C													
D													
E													
F													
G													
H													
23 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61920	55059	45452	37521	31792	27154	22228	17778	13339	10347	
B													
C													
D													
E													
F													
G													
H													
27 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	62624	54542	45620	37028	32340	26962	22406	17634	13458	10349	
B													
C													
D													
E													
F													
G													
H													
31 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	62133	54637	45982	36776	32106	27127	22639	17615	13501	10371	
B													
C													
D													
E													
F													
G													
H													
35 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	62446	54530	45699	36886	32120	27364	22276	17591	13493	10360	
B													
C													
D													
E													
F													
G													
H													
39 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	62282	54128	45798	36597	31976	27176	22332	17539	13553	10458	
B													
C													
D													
E													
F													
G													
H													
42 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	62313	54169	45808	37083	32046	27065	22238	17621	13353	10353	
B													
C													
D													
E													
F													
G													
H													
46 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	62357	54094	45787	36749	31952	27128	22241	17516	13453	10432	
B													
C													
D													
E													
F													
G													
H													
50 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
