well	protein	protein conc	GAP conc	GEF conc	MOG1 conc
C1	PE1:GDP	2	0.02	0	0
C2	PE1:GDP	2	0.02	0.01	0
C3	PE1:GDP	2	0.02	0.01	0.5
C4	PE1:GDP	2	0.02	0.01	1
C5	PE1:GDP	2	0.02	0.01	2
C6	PE1:GDP	2	0	0.01	0
C7	PE1:GDP	2	0.1	0.01	0.5
C8	PE1:GDP	2	0.1	0.01	1
C9	PE1:GDP	2	0.1	0.01	2
C10	PE1:GDP	2	0.02	0.1	0.5
C11	PE1:GDP	2	0.02	0.1	1
C12	PE1:GDP	2	0.02	0.1	2
