well	protein	protein conc	GAP conc	GEF conc	MOG1 conc
A1	PE1:GDP	2	0.02	0.1	0
A2	PE1:GDP	2	0.02	0.1	0.1
A3	PE1:GDP	2	0.02	0.1	0.44
A4	PE1:GDP	2	0.02	0.1	0.78
A5	PE1:GDP	2	0.02	0.1	1.12
A6	PE1:GDP	2	0.02	0.1	1.46
A7	PE1:GDP	2	0.02	0.1	1.8
A8	PE1:GDP	2	0.02	0.1	2.14
A9	PE1:GDP	2	0.02	0.1	2.48
A10	PE1:GDP	2	0.02	0.1	2.82
A11	PE1:GDP	2	0.02	0.1	3.16
A12	PE1:GDP	2	0.02	0.1	3.5
