20170329	100	A	8	PE1_WT	6	10	10681
20170329	100	A	9	PE1_WT	7	10	11126
20170329	100	A	10	PE1_WT	8	10	13780
20170329	100	A	11	PE1_WT	10	10	15428
20170329	100	A	12	PE1_WT	12	10	21515
20170329	110	A	1	PE1_WT	0.5	10	773
20170329	110	A	2	PE1_WT	1	10	1313
20170329	110	A	3	PE1_WT	1.5	10	1986
20170329	110	A	4	PE1_WT	2	10	2698
20170329	110	A	5	PE1_WT	3	10	4337
20170329	110	A	6	PE1_WT	4	10	6104
20170329	110	A	7	PE1_WT	5	10	7450
20170329	110	A	8	PE1_WT	6	10	10478
20170329	110	A	9	PE1_WT	7	10	10896
20170329	110	A	10	PE1_WT	8	10	13499
20170329	110	A	11	PE1_WT	10	10	15178
20170329	110	A	12	PE1_WT	12	10	21197
20170329	120	A	1	PE1_WT	0.5	10	772
20170329	120	A	2	PE1_WT	1	10	1300
20170329	120	A	3	PE1_WT	1.5	10	1966
20170329	120	A	4	PE1_WT	2	10	2683
20170329	120	A	5	PE1_WT	3	10	4339
20170329	120	A	6	PE1_WT	4	10	5999
20170329	120	A	7	PE1_WT	5	10	7294
20170329	120	A	8	PE1_WT	6	10	10192
20170329	120	A	9	PE1_WT	7	10	10742
20170329	120	A	10	PE1_WT	8	10	13433
20170329	120	A	11	PE1_WT	10	10	14949
20170329	120	A	12	PE1_WT	12	10	20921
20170329	130	A	1	PE1_WT	0.5	10	784
20170329	130	A	2	PE1_WT	1	10	1295
20170329	130	A	3	PE1_WT	1.5	10	1968
20170329	130	A	4	PE1_WT	2	10	2658
20170329	130	A	5	PE1_WT	3	10	4229
20170329	130	A	6	PE1_WT	4	10	5919
20170329	130	A	7	PE1_WT	5	10	7212
20170329	130	A	8	PE1_WT	6	10	10172
20170329	130	A	9	PE1_WT	7	10	10513
20170329	130	A	10	PE1_WT	8	10	13162
20170329	130	A	11	PE1_WT	10	10	14738
20170329	130	A	12	PE1_WT	12	10	20719
20170329	140	A	1	PE1_WT	0.5	10	779
20170329	140	A	2	PE1_WT	1	10	1313
20170329	140	A	3	PE1_WT	1.5	10	1948
20170329	140	A	4	PE1_WT	2	10	2609
20170329	140	A	5	PE1_WT	3	10	4236
20170329	140	A	6	PE1_WT	4	10	5796
20170329	140	A	7	PE1_WT	5	10	7106
20170329	140	A	8	PE1_WT	6	10	9991
20170329	140	A	9	PE1_WT	7	10	10416
20170329	140	A	10	PE1_WT	8	10	13050
20170329	140	A	11	PE1_WT	10	10	14618
20170329	140	A	12	PE1_WT	12	10	20548
20170329	150	A	1	PE1_WT	0.5	10	774
