sample	nm	Abs
unfolded_protein_ref	313.5	0.012
unfolded_protein_ref	314	0.011
unfolded_protein_ref	314.5	0.011
unfolded_protein_ref	315	0.011
unfolded_protein_ref	315.5	0.009
unfolded_protein_ref	316	0.007
unfolded_protein_ref	316.5	0.007
unfolded_protein_ref	317	0.006
unfolded_protein_ref	317.5	0.003
unfolded_protein_ref	318	0.002
unfolded_protein_ref	318.5	0.004
unfolded_protein_ref	319	0.003
unfolded_protein_ref	319.5	0.006
unfolded_protein_ref	320	0.008
unfolded_protein_ref	320.5	0.006
unfolded_protein_ref	321	0.005
unfolded_protein_ref	321.5	0.004
unfolded_protein_ref	322	0.003
unfolded_protein_ref	322.5	0.001
unfolded_protein_ref	323	0.002
unfolded_protein_ref	323.5	0.004
unfolded_protein_ref	324	0.008
unfolded_protein_ref	324.5	0.008
unfolded_protein_ref	325	0.009
unfolded_protein_ref	325.5	0.008
unfolded_protein_ref	326	0.008
unfolded_protein_ref	326.5	0.008
unfolded_protein_ref	327	0.008
unfolded_protein_ref	327.5	0.008
unfolded_protein_ref	328	0.007
unfolded_protein_ref	328.5	0.005
unfolded_protein_ref	329	0.005
unfolded_protein_ref	329.5	0.006
unfolded_protein_ref	330	0.005
unfolded_protein_ref	330.5	0.003
unfolded_protein_ref	331	0.002
unfolded_protein_ref	331.5	0
unfolded_protein_ref	332	-0.001
unfolded_protein_ref	332.5	-0.001
unfolded_protein_ref	333	0.001
unfolded_protein_ref	333.5	0.001
unfolded_protein_ref	334	0.001
unfolded_protein_ref	334.5	0.001
unfolded_protein_ref	335	-0.001
unfolded_protein_ref	335.5	-0.001
unfolded_protein_ref	336	-0.001
unfolded_protein_ref	336.5	-0.001
unfolded_protein_ref	337	-0.001
unfolded_protein_ref	337.5	-0.001
unfolded_protein_ref	338	0.001
unfolded_protein_ref	338.5	0.001
unfolded_protein_ref	339	-0.002
unfolded_protein_ref	339.5	0
unfolded_protein_ref	340	0
unfolded_protein_ref	340.5	-0.002
unfolded_protein_ref	341	-0.003
unfolded_protein_ref	341.5	-0.003
unfolded_protein_ref	342	-0.005
unfolded_protein_ref	342.5	-0.004
unfolded_protein_ref	343	-0.005
unfolded_protein_ref	343.5	-0.006
unfolded_protein_ref	344	-0.006
unfolded_protein_ref	344.5	-0.004
unfolded_protein_ref	345	-0.005
unfolded_protein_ref	345.5	-0.005
unfolded_protein_ref	346	-0.005
unfolded_protein_ref	346.5	-0.004
unfolded_protein_ref	347	-0.004
unfolded_protein_ref	347.5	-0.007
unfolded_protein_ref	348	-0.006
unfolded_protein_ref	348.5	-0.006
unfolded_protein_ref	349	-0.006
unfolded_protein_ref	349.5	-0.005
unfolded_protein_ref	350	-0.005
GDP	220	0.543
GDP	220.5	0.535
GDP	221	0.527
GDP	221.5	0.521
GDP	222	0.518
GDP	222.5	0.518
GDP	223	0.523
GDP	223.5	0.536
GDP	224	0.549
GDP	224.5	0.564
GDP	225	0.587
GDP	225.5	0.609
GDP	226	0.629
GDP	226.5	0.645
GDP	227	0.658
GDP	227.5	0.672
GDP	228	0.687
GDP	228.5	0.701
GDP	229	0.714
GDP	229.5	0.729
GDP	230	0.745
GDP	230.5	0.762
GDP	231	0.781
GDP	231.5	0.803
GDP	232	0.828
GDP	232.5	0.859
GDP	233	0.894
GDP	233.5	0.933
GDP	234	0.977
GDP	234.5	1.026
GDP	235	1.081
GDP	235.5	1.139
GDP	236	1.198
GDP	236.5	1.26
GDP	237	1.321
GDP	237.5	1.389
GDP	238	1.462
GDP	238.5	1.542
GDP	239	1.621
GDP	239.5	1.696
GDP	240	1.758
GDP	240.5	1.811
GDP	241	1.859
GDP	241.5	1.901
GDP	242	1.941
GDP	242.5	1.984
GDP	243	2.031
GDP	243.5	2.086
GDP	244	2.141
GDP	244.5	2.188
GDP	245	2.224
GDP	245.5	2.258
GDP	246	2.289
GDP	246.5	2.316
GDP	247	2.343
GDP	247.5	2.369
GDP	248	2.391
GDP	248.5	2.412
GDP	249	2.429
GDP	249.5	2.445
GDP	250	2.456
GDP	250.5	2.468
GDP	251	2.477
GDP	251.5	2.481
GDP	252	2.484
GDP	252.5	2.49
GDP	253	2.495
GDP	253.5	2.495
GDP	254	2.495
GDP	254.5	2.493
GDP	255	2.482
GDP	255.5	2.466
GDP	256	2.44
GDP	256.5	2.405
GDP	257	2.362
GDP	257.5	2.325
GDP	258	2.29
GDP	258.5	2.259
GDP	259	2.232
GDP	259.5	2.207
GDP	260	2.181
GDP	260.5	2.156
GDP	261	2.134
GDP	261.5	2.112
GDP	262	2.09
GDP	262.5	2.067
GDP	263	2.042
GDP	263.5	2.015
GDP	264	1.984
GDP	264.5	1.954
GDP	265	1.921
GDP	265.5	1.892
GDP	266	1.868
GDP	266.5	1.848
GDP	267	1.831
GDP	267.5	1.816
GDP	268	1.801
GDP	268.5	1.787
GDP	269	1.776
GDP	269.5	1.765
GDP	270	1.754
GDP	270.5	1.744
GDP	271	1.734
GDP	271.5	1.725
GDP	272	1.716
GDP	272.5	1.707
GDP	273	1.697
GDP	273.5	1.685
GDP	274	1.673
GDP	274.5	1.662
GDP	275	1.65
GDP	275.5	1.637
GDP	276	1.623
GDP	276.5	1.605
GDP	277	1.587
GDP	277.5	1.567
GDP	278	1.546
GDP	278.5	1.524
GDP	279	1.497
GDP	279.5	1.471
GDP	280	1.442
GDP	280.5	1.414
GDP	281	1.385
GDP	281.5	1.351
GDP	282	1.314
GDP	282.5	1.275
GDP	283	1.234
GDP	283.5	1.194
GDP	284	1.153
GDP	284.5	1.112
GDP	285	1.072
GDP	285.5	1.031
GDP	286	0.987
GDP	286.5	0.942
GDP	287	0.894
GDP	287.5	0.843
GDP	288	0.793
GDP	288.5	0.746
GDP	289	0.702
GDP	289.5	0.657
GDP	290	0.614
GDP	290.5	0.569
GDP	291	0.52
GDP	291.5	0.474
GDP	292	0.431
GDP	292.5	0.393
GDP	293	0.355
GDP	293.5	0.322
GDP	294	0.288
GDP	294.5	0.255
GDP	295	0.226
GDP	295.5	0.201
GDP	296	0.18
GDP	296.5	0.16
GDP	297	0.143
GDP	297.5	0.128
GDP	298	0.113
GDP	298.5	0.101
GDP	299	0.089
GDP	299.5	0.079
GDP	300	0.069
GDP	300.5	0.061
GDP	301	0.052
GDP	301.5	0.043
GDP	302	0.036
GDP	302.5	0.03
GDP	303	0.024
GDP	303.5	0.018
GDP	304	0.014
GDP	304.5	0.01
GDP	305	0.008
GDP	305.5	0.006
GDP	306	0.004
GDP	306.5	0.003
GDP	307	0.002
GDP	307.5	0.001
GDP	308	0
GDP	308.5	-0.001
GDP	309	0
GDP	309.5	0
GDP	310	-0.001
GDP	310.5	-0.003
GDP	311	-0.005
GDP	311.5	-0.006
GDP	312	-0.005
GDP	312.5	-0.006
GDP	313	-0.007
GDP	313.5	-0.006
GDP	314	-0.007
GDP	314.5	-0.007
GDP	315	-0.008
GDP	315.5	-0.009
GDP	316	-0.008
GDP	316.5	-0.009
GDP	317	-0.011
GDP	317.5	-0.011
GDP	318	-0.011
GDP	318.5	-0.008
GDP	319	-0.007
GDP	319.5	-0.008
GDP	320	-0.006
GDP	320.5	-0.004
GDP	321	-0.004
GDP	321.5	-0.002
GDP	322	-0.003
GDP	322.5	-0.003
GDP	323	-0.001
GDP	323.5	0
GDP	324	0
GDP	324.5	0.002
GDP	325	0.003
GDP	325.5	0.003
GDP	326	0.001
GDP	326.5	0
GDP	327	0
GDP	327.5	-0.001
GDP	328	-0.001
GDP	328.5	-0.001
GDP	329	-0.002
GDP	329.5	-0.003
GDP	330	-0.003
GDP	330.5	-0.005
GDP	331	-0.006
GDP	331.5	-0.005
GDP	332	-0.007
GDP	332.5	-0.008
GDP	333	-0.008
GDP	333.5	-0.008
GDP	334	-0.007
GDP	334.5	-0.005
GDP	335	-0.006
GDP	335.5	-0.005
GDP	336	-0.004
GDP	336.5	-0.004
GDP	337	-0.005
GDP	337.5	-0.006
GDP	338	-0.005
GDP	338.5	-0.004
GDP	339	-0.006
GDP	339.5	-0.006
GDP	340	-0.007
GDP	340.5	-0.006
GDP	341	-0.005
GDP	341.5	-0.007
GDP	342	-0.006
GDP	342.5	-0.005
GDP	343	-0.005
GDP	343.5	-0.006
GDP	344	-0.005
GDP	344.5	-0.004
GDP	345	-0.003
GDP	345.5	-0.004
GDP	346	-0.005
GDP	346.5	-0.004
GDP	347	-0.004
GDP	347.5	-0.004
GDP	348	-0.004
GDP	348.5	-0.005
GDP	349	-0.005
GDP	349.5	-0.006
GDP	350	-0.006
mant	220	0.256
mant	220.5	0.259
mant	221	0.258
mant	221.5	0.258
mant	222	0.254
mant	222.5	0.254
mant	223	0.251
mant	223.5	0.246
mant	224	0.242
mant	224.5	0.236
mant	225	0.23
mant	225.5	0.225
mant	226	0.219
mant	226.5	0.215
mant	227	0.21
mant	227.5	0.206
mant	228	0.203
mant	228.5	0.199
mant	229	0.196
mant	229.5	0.194
mant	230	0.191
mant	230.5	0.187
mant	231	0.183
mant	231.5	0.18
mant	232	0.176
mant	232.5	0.172
mant	233	0.167
mant	233.5	0.163
mant	234	0.158
mant	234.5	0.152
mant	235	0.147
mant	235.5	0.143
mant	236	0.139
mant	236.5	0.137
mant	237	0.136
mant	237.5	0.134
mant	238	0.135
mant	238.5	0.136
mant	239	0.138
mant	239.5	0.142
mant	240	0.145
mant	240.5	0.146
mant	241	0.148
mant	241.5	0.149
mant	242	0.153
mant	242.5	0.155
mant	243	0.157
mant	243.5	0.161
mant	244	0.163
mant	244.5	0.164
mant	245	0.166
mant	245.5	0.168
mant	246	0.171
mant	246.5	0.173
mant	247	0.175
mant	247.5	0.176
mant	248	0.178
mant	248.5	0.179
mant	249	0.181
mant	249.5	0.181
mant	250	0.183
mant	250.5	0.184
mant	251	0.185
mant	251.5	0.187
mant	252	0.19
mant	252.5	0.193
mant	253	0.195
mant	253.5	0.196
mant	254	0.195
mant	254.5	0.195
mant	255	0.195
mant	255.5	0.195
mant	256	0.193
mant	256.5	0.19
mant	257	0.185
mant	257.5	0.181
mant	258	0.177
mant	258.5	0.174
mant	259	0.17
mant	259.5	0.166
mant	260	0.163
mant	260.5	0.161
mant	261	0.158
mant	261.5	0.156
mant	262	0.153
mant	262.5	0.149
mant	263	0.146
mant	263.5	0.143
mant	264	0.141
mant	264.5	0.136
mant	265	0.131
mant	265.5	0.125
mant	266	0.118
mant	266.5	0.117
mant	267	0.115
mant	267.5	0.113
mant	268	0.11
mant	268.5	0.109
mant	269	0.108
mant	269.5	0.107
mant	270	0.106
mant	270.5	0.104
mant	271	0.103
mant	271.5	0.102
mant	272	0.102
mant	272.5	0.101
mant	273	0.101
mant	273.5	0.101
