well	Pi_conc	sensor_conc	date	data_file	Time	fluorescence	row	column	condition
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	585	17745	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	598	17699	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	611	17620	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	624	17706	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	637	17679	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	650	17666	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	663	17665	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	676	17645	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	689	17619	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	702	17603	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	715	17551	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	728	17593	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	741	17636	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	754	17605	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	767	17577	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	780	17621	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	793	17474	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	806	17737	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	819	17537	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	832	17534	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	845	17554	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	858	17486	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	871	17491	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	884	17528	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	897	17666	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	910	17533	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	923	17451	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	936	17543	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	949	17503	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	962	17484	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	975	17499	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	988	17572	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1001	17487	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1014	17503	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1027	17499	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1040	17544	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1053	17471	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1066	17395	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1079	17365	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1092	17360	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1105	17504	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1118	17466	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1131	17481	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1144	17445	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1157	17371	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1170	17394	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1183	17472	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1196	17384	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1209	17459	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1222	17415	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1235	17458	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1248	17412	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1261	17455	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1274	17456	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1287	17345	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1300	17428	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1313	17361	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1326	17354	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1339	17466	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1352	17427	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1365	17389	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1378	17516	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1391	17324	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1404	17414	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1417	17394	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1430	17346	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1443	17388	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1456	17513	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1469	17360	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1482	17328	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1495	17341	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1508	17346	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1521	17422	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1534	17374	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1547	17396	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1560	17319	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1573	17392	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1586	17329	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1599	17430	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1612	17440	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1625	17451	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1638	17405	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1651	17359	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1664	17341	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1677	17479	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1690	17338	A	1	20181107-A-1-5-10
