well	sample	conc	450	595	ratio_abs
D8	G	0	0.468	0.329	0.7029914529914529
D9	buffer	0	0.456	0.354	0.7763157894736842
E8	G	0	0.445	0.326	0.7325842696629213
E9	buffer	0	0.431	0.35	0.8120649651972157
F8	G	0	0.42	0.336	0.8
F9	buffer	0	0.409	0.344	0.8410757946210269
D7	F	2.5	0.455	0.372	0.8175824175824176
E7	F	2.5	0.429	0.376	0.8764568764568764
F7	F	2.5	0.404	0.382	0.9455445544554455
D6	E	5	0.444	0.407	0.9166666666666666
E6	E	5	0.403	0.426	1.0570719602977667
F6	E	5	0.379	0.448	1.1820580474934037
D5	D	10	0.421	0.47	1.1163895486935866
E5	D	10	0.381	0.505	1.3254593175853018
F5	D	10	0.34	0.557	1.638235294117647
D4	C	15	0.397	0.506	1.2745591939546599
E4	C	15	0.363	0.558	1.5371900826446283
F4	C	15	0.314	0.647	2.0605095541401273
D3	B	20	0.382	0.546	1.4293193717277488
E3	B	20	0.336	0.63	1.875
F3	B	20	0.291	0.722	2.4810996563573884
D2	A	25	0.376	0.571	1.5186170212765957
E2	A	25	0.343	0.635	1.8513119533527695
F2	A	25	0.273	0.777	2.846153846153846
