well	sample	conc	450	595	ratio_abs	row	column
E8	G	0	0.389	0.349	0.8971722365038559	E	8
E9	buffer	0	0.392	0.364	0.9285714285714285	E	9
F8	G	0	0.389	0.349	0.8971722365038559	F	8
F9	buffer	0	0.379	0.354	0.9340369393139841	F	9
G8	G	0	0.392	0.351	0.895408163265306	G	8
G9	buffer	0	0.386	0.361	0.93523316062176165	G	9
E7	F	2.5	0.377	0.388	1.0291777188328912	E	7
F7	F	2.5	0.375	0.383	1.0213333333333334	F	7
G7	F	2.5	0.385	0.392	1.0181818181818183	G	7
E6	E	5	0.358	0.445	1.2430167597765365	E	6
F6	E	5	0.353	0.438	1.2407932011331446	F	6
G6	E	5	0.363	0.444	1.2231404958677687	G	6
E5	D	10	0.316	0.563	1.7816455696202529	E	5
F5	D	10	0.31	0.557	1.7967741935483872	F	5
G5	D	10	0.321	0.563	1.7538940809968846	G	5
E4	C	15	0.269	0.697	2.591078066914498	E	4
F4	C	15	0.265	0.686	2.5886792452830187	F	4
G4	C	15	0.278	0.693	2.492805755395683	G	4
E3	B	20	0.249	0.766	3.076305220883534	E	3
G3	B	20	0.257	0.761	2.9610894941634243	G	3
E2	A	25	0.235	0.809	3.4425531914893623	E	2
G2	A	25	0.233	0.81	3.476394849785408	G	2
