sample	well	conc	GEF_conc	date	k_est	cutoff_time	data_file
PE1_WT	C3	9	5	20181003	0.007		GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE1_WT	E5	10	5	20180824	0.005		GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt
PE1_WT	A4	10	5	20180906	0.004		GEF_assay/2018_data/20180906_GEF_FRET_assay8.txt
PE1_WT	C4	10	5	20180906	0.004		GEF_assay/2018_data/20180906_GEF_FRET_assay9.txt
PE1_WT	C4	10	5	20181003	0.007		GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE1_WT	A5	11	5	20180906	0.004		GEF_assay/2018_data/20180906_GEF_FRET_assay8.txt
PE1_WT	C5	11	5	20180906	0.004		GEF_assay/2018_data/20180906_GEF_FRET_assay9.txt
PE1_WT	C5	11	5	20181003	0.007		GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE1_WT	E6	12	5	20180824	0.004		GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt
PE1_WT	A6	12	5	20180906	0.005		GEF_assay/2018_data/20180906_GEF_FRET_assay8.txt
PE1_WT	C6	12	5	20180906	0.004		GEF_assay/2018_data/20180906_GEF_FRET_assay9.txt
PE1_WT	C6	12	5	20181003	0.007		GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE1_WT	G1	0.25	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay2.txt
PE1_WT	C1	0.5	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay4.txt
PE1_WT	G2	0.75	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay2.txt
PE1_WT	G3	1	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay2.txt
PE1_WT	G4	1.5	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay2.txt
PE1_WT	C2	1.5	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay4.txt
PE1_WT	A1	1.75	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE1_WT	A2	2	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE1_WT	C3	2	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay4.txt
PE1_WT	G5	2.25	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay2.txt
PE1_WT	A3	2.5	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE1_WT	A4	3	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE1_WT	C4	3	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay4.txt
PE1_WT	G6	3.25	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay2.txt
PE1_WT	C5	3.5	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay4.txt
PE1_WT	A5	3.75	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE1_WT	A6	4	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE1_WT	C6	4.5	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay4.txt
