sample	well	conc	GEF_conc	date	k_est	span1	f_plateau	cutoff_time	back_signal	fit	data_file
PE1_WT	G5	2.25	5	20181106	0.015	2400	2100	1000	exp	exp	GEF_assay/2018_data/20181106_GEF_FRET_assay2.txt
PE1_WT	C3	2.5	5	20180824	0.015	2650	4400		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay2.txt
PE1_WT	G3	2.5	5	20180906	0.01	3100	4400		exp	exp	GEF_assay/2018_data/20180906_GEF_FRET_assay7.txt
PE1_WT	A3	2.5	5	20181106	0.013	2300	2800		exp	exp	GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE1_WT	G4	3	5	20180906	0.01	3000	5100		exp	exp	GEF_assay/2018_data/20180906_GEF_FRET_assay7.txt
PE1_WT	A3	3	5	20181003	0.01	2500	5000		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay3.txt
PE1_WT	A4	3	5	20181106	0.012	2600	3400		exp	exp	GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE1_WT	C4	3	5	20181106	0.01	3000	3300		exp	exp	GEF_assay/2018_data/20181106_GEF_FRET_assay4.txt
PE1_WT	A6	3.25	5	20180824	0.01	2600	5659.5	1250	exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay.txt
PE1_WT	G6	3.25	5	20181106	0.009	3200	3400	1200	exp	exp	GEF_assay/2018_data/20181106_GEF_FRET_assay2.txt
PE1_WT	G5	3.5	5	20180906	0.01	3200	6000		exp	exp	GEF_assay/2018_data/20180906_GEF_FRET_assay7.txt
PE1_WT	C5	3.5	5	20181106	0.009	3200	3600		exp	exp	GEF_assay/2018_data/20181106_GEF_FRET_assay4.txt
PE1_WT	C5	3.75	5	20180824	0.01	3850	7074.375		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay2.txt
PE1_WT	A5	3.75	5	20181106	0.009	3200	3200		exp	exp	GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE1_WT	C6	4	5	20180824	0.01	4200	7546		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay2.txt
PE1_WT	A6	4	5	20181106	0.009	3700	6200	2000	exp	exp	GEF_assay/2018_data/20181106_GEF_FRET_assay3.txt
PE1_WT	G6	4.5	5	20180824	0.008	4250	8489.25		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay4.txt
PE1_WT	C6	4.5	5	20181106	0.008	3900	4900		exp	exp	GEF_assay/2018_data/20181106_GEF_FRET_assay4.txt
PE1_WT	E1	5	5	20180824	0.008	4500	9100		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt
