sample	well	conc	GEF_conc	date	cutoff_time	data_file
PE6_H141V	E7	0.5	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay3.txt
PE6_H141V	E8	1.5	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay3.txt
PE6_H141V	E9	2	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay3.txt
PE6_H141V	E10	3	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay3.txt
PE6_H141V	E11	3.5	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay3.txt
PE6_H141V	E12	4.5	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay3.txt
PE4_R108L	G1	5	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay4.txt
PE4_R108L	G2	7	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay4.txt
PE4_R108L	G3	8	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay4.txt
PE4_R108L	G4	9	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay4.txt
PE4_R108L	G5	10	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay4.txt
PE4_R108L	G6	12	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay4.txt
PE6_H141V	G7	5	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay4.txt
PE6_H141V	G8	7	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay4.txt
PE6_H141V	G9	8	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay4.txt
PE6_H141V	G10	9	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay4.txt
PE6_H141V	G11	10	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay4.txt
PE6_H141V	G12	12	5	20180828	3000	GEF_assay/2018_data/20180828_GEF_FRET_assay4.txt
