

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20181108_GAP_sensor_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	11/8/2018
Time	12:02:33 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	E1..E12
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 59
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	SPL13	SPL14	SPL15	SPL16	SPL17	SPL18	Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	29.6	6503	6786	6896	7465	8425	8405	9146	9186	9738	10357	10685	11312
0:00:05	29.5	6738	7008	7202	7744	8741	8765	9533	9706	9954	10562	11016	11798
0:00:10	29.5	6886	7269	7553	8009	9071	9114	9799	10126	10300	11050	11289	12025
0:00:15	29.5	7023	7509	7806	8283	9393	9395	10164	10287	10670	11146	11412	12356
0:00:20	29.4	7290	7772	8073	8516	9642	9670	10282	10613	10819	11375	11606	12751
0:00:25	29.4	7443	7966	8349	8855	10045	10043	10637	11043	11211	11655	11832	13027
0:00:30	29.4	7498	8247	8624	9129	10281	10337	10894	11159	11397	11961	11920	13350
0:00:35	29.4	7573	8438	8875	9319	10612	10624	11176	11476	11670	12080	12233	13527
0:00:40	29.3	7703	8723	9074	9539	10905	10767	11297	11691	11914	12404	12464	13709
0:00:45	29.3	7742	8946	9348	9861	11135	11158	11701	11946	12270	12554	12790	14109
0:00:50	29.3	7909	9180	9578	10215	11434	11508	11909	12226	12503	12791	13083	14400
0:00:55	29.3	7955	9370	9935	10399	11788	11843	12165	12467	12713	13219	13303	14628
0:01:00	29.2	8021	9599	10128	10631	12008	12042	12434	12623	13009	13335	13583	15025
