

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190117_GAP_assay3.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	1/17/2019
Time	1:28:17 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 0:06:00 (HH:MM:SS), Interval 0:00:02, 181 Reads
    Read	Fluorescence Endpoint
	A8
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A								SPL1					Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	A8
0:00:00	30.0	4946
0:00:02	30.0	5016
0:00:04	30.0	5077
0:00:06	30.0	5120
0:00:08	30.0	5157
0:00:10	30.0	5184
0:00:12	30.0	5206
0:00:14	30.0	5282
0:00:16	30.0	5286
0:00:18	30.0	5351
0:00:20	30.0	5360
0:00:22	30.0	5384
0:00:24	30.0	5368
0:00:26	30.0	5415
0:00:28	30.0	5435
0:00:30	30.0	5462
0:00:32	30.0	5452
0:00:34	30.0	5428
0:00:36	30.0	5460
0:00:38	30.0	5456
0:00:40	30.0	5463
0:00:42	30.0	5535
0:00:44	30.0	5515
0:00:46	30.0	5534
0:00:48	30.0	5508
0:00:50	30.0	5539
0:00:52	30.0	5521
0:00:54	30.0	5544
0:00:56	30.0	5546
0:00:58	29.9	5493
0:01:00	30.0	5524
0:01:02	30.0	5548
0:01:04	30.0	5540
0:01:06	30.0	5511
0:01:08	30.0	5554
0:01:10	30.1	5549
0:01:12	30.1	5577
0:01:14	30.1	5559
0:01:16	30.1	5582
0:01:18	30.0	5535
0:01:20	30.0	5571
0:01:22	30.0	5543
0:01:24	30.0	5519
0:01:26	30.0	5550
0:01:28	30.0	5550
0:01:30	30.0	5559
0:01:32	30.0	5573
0:01:34	30.0	5508
0:01:36	30.0	5572
0:01:38	30.0	5528
0:01:40	30.0	5556
0:01:42	30.0	5588
0:01:44	30.0	5582
0:01:46	30.0	5540
0:01:48	30.0	5557
0:01:50	30.0	5577
0:01:52	30.1	5576
0:01:54	30.1	5567
0:01:56	30.0	5574
0:01:58	30.0	5577
0:02:00	30.0	5533
0:02:02	30.0	5611
0:02:04	30.0	5586
0:02:06	30.0	5526
0:02:08	30.0	5573
0:02:10	30.0	5534
0:02:12	30.0	5546
0:02:14	30.0	5603
0:02:16	30.0	5550
0:02:18	30.0	5567
0:02:20	30.0	5524
0:02:22	30.0	5555
0:02:24	30.0	5535
0:02:26	30.0	5589
0:02:28	30.0	5566
0:02:30	30.0	5575
0:02:32	30.0	5538
0:02:34	30.1	5545
0:02:36	30.1	5560
0:02:38	30.0	5590
0:02:40	30.0	5560
0:02:42	30.0	5589
0:02:44	30.0	5584
0:02:46	30.0	5535
0:02:48	30.0	5600
0:02:50	30.0	5561
0:02:52	30.0	5554
0:02:54	30.0	5526
0:02:56	30.0	5554
0:02:58	30.0	5595
0:03:00	30.0	5586
0:03:02	30.0	5538
0:03:04	30.0	5586
0:03:06	30.0	5573
0:03:08	30.0	5600
0:03:10	30.0	5585
0:03:12	30.0	5615
0:03:14	30.0	5580
0:03:16	30.0	5595
0:03:18	30.0	5570
0:03:20	30.0	5591
0:03:22	30.0	5589
0:03:24	30.0	5601
0:03:26	30.0	5583
0:03:28	30.0	5603
0:03:30	30.0	5579
0:03:32	30.0	5567
0:03:34	30.0	5563
0:03:36	30.0	5618
0:03:38	30.0	5591
0:03:40	30.0	5587
0:03:42	30.0	5534
0:03:44	30.0	5591
0:03:46	30.0	5599
0:03:48	30.0	5642
0:03:50	30.0	5594
0:03:52	30.0	5617
0:03:54	30.0	5587
0:03:56	30.0	5598
0:03:58	30.0	5580
0:04:00	30.0	5615
0:04:02	30.0	5612
0:04:04	30.0	5542
0:04:06	30.0	5584
0:04:08	30.0	5586
0:04:10	30.0	5603
0:04:12	30.0	5598
0:04:14	30.0	5612
0:04:16	30.0	5581
0:04:18	30.0	5590
0:04:20	30.0	5630
0:04:22	30.0	5628
0:04:24	30.0	5552
0:04:26	30.0	5611
0:04:28	30.0	5611
0:04:30	30.0	5617
0:04:32	30.0	5583
0:04:34	30.0	5609
0:04:36	30.0	5598
0:04:38	30.0	5598
0:04:40	30.0	5611
0:04:42	30.0	5587
0:04:44	30.0	5624
0:04:46	30.0	5584
0:04:48	30.0	5547
0:04:50	30.0	5596
0:04:52	30.0	5545
0:04:54	30.0	5609
0:04:56	30.0	5611
0:04:58	30.0	5593
0:05:00	30.0	5620
0:05:02	30.0	5569
0:05:04	30.0	5601
0:05:06	30.0	5623
0:05:08	30.0	5608
0:05:10	30.0	5594
0:05:12	30.0	5583
0:05:14	30.0	5570
0:05:16	30.0	5593
0:05:18	30.0	5612
0:05:20	30.0	5625
0:05:22	30.0	5571
0:05:24	30.0	5602
0:05:26	30.0	5582
0:05:28	30.0	5572
0:05:30	30.0	5600
0:05:32	30.0	5592
0:05:34	30.0	5612
0:05:36	30.0	5579
0:05:38	30.0	5628
0:05:40	30.0	5604
0:05:42	30.0	5623
0:05:44	30.0	5614
0:05:46	30.0	5620
0:05:48	30.0	5593
0:05:50	30.0	5622
0:05:52	30.0	5641
0:05:54	30.0	5596
0:05:56	30.0	5601
0:05:58	30.0	5645
0:06:00	30.0	5583

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A								2340000.000					Max V [425,457]
								1.000					R-Squared [425,457]
								0:02:01					t at Max V [425,457]
								0:01:45					Lagtime [425,457]
B													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
C													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
D													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
E													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
F													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
G													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
H													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]

