PE1:GTP 5x
6/22/2017 11:28 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	-0.06333	
//WLCalib: 261S 	-0.41000	
//WLCalib: 362S 	-0.11000	
//WLCalib: 484S 	0.00000	
//WLCalib: 529S 	0.07000	
//WLCalib: 823S 	-0.52000	
//QSpecEnd: 
220.0	2.044
220.5	2.002
221.0	1.952
221.5	1.891
222.0	1.846
222.5	1.798
223.0	1.751
223.5	1.687
224.0	1.620
224.5	1.551
225.0	1.485
225.5	1.425
226.0	1.377
226.5	1.337
227.0	1.300
227.5	1.268
228.0	1.236
228.5	1.208
229.0	1.181
229.5	1.151
230.0	1.121
230.5	1.087
231.0	1.055
231.5	1.018
232.0	0.976
232.5	0.927
233.0	0.873
233.5	0.818
234.0	0.759
234.5	0.700
235.0	0.638
235.5	0.578
236.0	0.523
236.5	0.475
237.0	0.427
237.5	0.383
238.0	0.342
238.5	0.304
239.0	0.277
239.5	0.252
240.0	0.232
240.5	0.217
241.0	0.206
241.5	0.199
242.0	0.191
242.5	0.184
243.0	0.179
243.5	0.172
244.0	0.163
244.5	0.158
245.0	0.157
245.5	0.156
246.0	0.154
246.5	0.152
247.0	0.151
247.5	0.150
248.0	0.151
248.5	0.151
249.0	0.151
249.5	0.152
250.0	0.152
250.5	0.152
251.0	0.153
251.5	0.159
252.0	0.165
252.5	0.167
253.0	0.169
253.5	0.173
254.0	0.173
254.5	0.176
255.0	0.178
255.5	0.180
256.0	0.182
256.5	0.184
257.0	0.184
257.5	0.185
258.0	0.186
258.5	0.187
259.0	0.187
259.5	0.187
260.0	0.187
260.5	0.187
261.0	0.188
261.5	0.189
262.0	0.192
262.5	0.192
263.0	0.193
263.5	0.196
264.0	0.198
264.5	0.200
265.0	0.202
265.5	0.203
266.0	0.204
266.5	0.208
267.0	0.209
267.5	0.210
268.0	0.214
268.5	0.215
269.0	0.218
269.5	0.218
270.0	0.219
270.5	0.219
271.0	0.219
271.5	0.220
272.0	0.221
272.5	0.223
273.0	0.224
273.5	0.226
274.0	0.226
274.5	0.227
275.0	0.227
275.5	0.227
276.0	0.227
276.5	0.225
277.0	0.224
277.5	0.223
278.0	0.224
278.5	0.223
279.0	0.223
279.5	0.222
280.0	0.221
280.5	0.220
281.0	0.218
281.5	0.215
282.0	0.214
282.5	0.211
283.0	0.208
283.5	0.205
284.0	0.203
284.5	0.200
285.0	0.195
285.5	0.191
286.0	0.188
286.5	0.182
287.0	0.174
287.5	0.168
288.0	0.162
288.5	0.154
289.0	0.148
289.5	0.139
